iteration,rewards,learning rate,policy_loss,value_loss,entropy_loss
1,-36723.8,0.0003,-0.000581829,410295,2.77257
2,-37967.6,0.0002997,0.000946818,486081,2.77254
3,-35947.5,0.0002994,0.00870303,454138,2.77123
4,-37568.5,0.0002991,-0.0060436,499493,2.76045
5,-37687.4,0.0002988,-0.0114435,500072,2.75161
6,-36728.9,0.0002985,0.0254723,453235,2.7336
7,-36597,0.0002982,-0.0176365,490743,2.72246
8,-36119.7,0.0002979,-0.013822,443013,2.7142
9,-35087.2,0.0002976,-0.0277037,464123,2.6721
10,-36071.6,0.0002973,-0.0177347,460886,2.65062
11,-35520.4,0.000297,0.00753431,421963,2.54822
12,-33863.2,0.0002967,-0.0169695,439941,2.55671
13,-32131,0.0002964,-0.0523379,357138,2.44485
14,-33604.4,0.0002961,0.00886602,408146,2.47203
15,-32588.8,0.0002958,-0.0236782,384356,2.27088
16,-31889.4,0.0002955,-0.0334061,359356,2.31112
17,-30759.8,0.0002952,-0.0184311,312045,2.25535
18,-30125.1,0.0002949,0.0167476,294792,2.21053
19,-28311.9,0.0002946,-0.0217484,248309,2.14246
20,-26207.7,0.0002943,-0.0301263,226595,1.99298
21,-26061.7,0.000294,-0.0475907,259213,1.87055
22,-23773.3,0.0002937,-0.0162977,184149,1.61495
23,-24578.5,0.0002934,0.00126361,177324,1.63372
24,-23723.8,0.0002931,-0.0104517,200834,1.75521
25,-22318.8,0.0002928,-0.000536168,156759,1.7367
26,-22289.3,0.0002925,0.0148812,130348,1.41844
27,-23210.2,0.0002922,-0.0126799,130659,1.40041
28,-22152,0.0002919,-0.0213207,148051,1.51
29,-20845,0.0002916,-0.0143188,138600,1.46847
30,-20572.3,0.0002913,-0.0133512,109326,1.30293
31,-19498.1,0.000291,-0.0148627,91093.4,1.16813
32,-18058.1,0.0002907,-0.0555231,81770.8,1.08345
33,-18852.5,0.0002904,-0.00901153,111619,1.40958
34,-18581.2,0.0002901,-0.0434644,76193.3,1.09062
35,-17656.8,0.0002898,0.00776099,92890.7,1.17671
36,-17398.9,0.0002895,-0.00367445,87904.6,0.958381
37,-17176.3,0.0002892,-0.0389682,103336,1.0397
38,-16448.9,0.0002889,-0.0122518,71145.9,0.775727
39,-16698.2,0.0002886,-0.0418202,64112.1,1.04993
40,-18289,0.0002883,0.0136972,104671,0.860271
41,-16920.7,0.000288,-0.00791631,70292,0.896728
42,-16430,0.0002877,-0.0112819,58648.2,1.21364
43,-16442,0.0002874,-0.038975,68712.6,0.878212
44,-16437.2,0.0002871,-0.0204055,67514.7,0.711644
45,-15832.3,0.0002868,-0.00146414,62030.2,0.546351
46,-16176.9,0.0002865,0.0107893,62518.4,0.620216
47,-15087.1,0.0002862,-0.0197333,58056.9,0.579742
48,-15139.6,0.0002859,-0.00822121,50096.6,0.828
49,-16273.8,0.0002856,-0.0118321,59841.4,0.58942
50,-16019.6,0.0002853,0.00389348,65816.3,0.949477
51,-17150.8,0.000285,-0.0209838,77579.9,0.720754
52,-16669.4,0.0002847,-0.0373839,60519.6,0.623468
53,-16033.5,0.0002844,-0.0116817,61148.3,0.772733
54,-16795.4,0.0002841,-0.0186385,67947.5,0.829233
55,-16453.2,0.0002838,-0.0148572,64916.9,1.00799
56,-15544.8,0.0002835,-0.0315458,55756.3,0.679546
57,-15614,0.0002832,-0.006912,52206.6,0.567959
58,-15979.4,0.0002829,-0.0148268,57289.2,0.72835
59,-16416.2,0.0002826,0.0113013,72170,0.846256
60,-15983.7,0.0002823,-0.0440214,76562.6,0.904348
61,-18023.5,0.000282,-0.0447465,84941.4,0.753477
62,-17262.6,0.0002817,-0.00262512,76296.7,0.739539
63,-17597.9,0.0002814,-0.023877,70964.2,0.795325
64,-16579.7,0.0002811,-0.0257041,63934.1,0.519003
65,-17539.8,0.0002808,-0.017303,80404.2,0.747083
66,-16405.1,0.0002805,-0.0210476,66012.9,0.629312
67,-16933.5,0.0002802,-0.0125026,70472.3,0.757052
68,-17633.7,0.0002799,0.00233103,59107.9,0.727552
69,-15520.5,0.0002796,-0.00998681,46982.1,0.834316
70,-16541.1,0.0002793,0.00880851,63119.5,0.963343
