iteration,rewards,learning rate,policy_loss,value_loss,entropy_loss
1,-37578.6,0.0003,-0.00469653,415155,2.77139
2,-36682.3,0.0002997,0.00409424,433201,2.76089
3,-36945.9,0.0002994,0.00904723,457909,2.74182
4,-35771.5,0.0002991,-0.0142876,467726,2.72105
5,-37573.3,0.0002988,-0.018179,475358,2.71645
6,-36316.3,0.0002985,-0.00777342,451120,2.71551
7,-35542.2,0.0002982,0.0129171,509567,2.67993
8,-35962.5,0.0002979,-0.00614137,389049,2.6954
9,-36204.6,0.0002976,-0.0210641,424662,2.68167
10,-35505,0.0002973,-0.00562665,525786,2.63079
11,-35666.4,0.000297,-0.0229786,391443,2.60332
12,-33983.6,0.0002967,-0.0157192,441167,2.49611
13,-33506.6,0.0002964,-0.0231188,331634,2.51142
14,-33605.6,0.0002961,-0.0225764,382431,2.43009
15,-32918.4,0.0002958,0.00760022,368569,2.39855
16,-32572.5,0.0002955,-0.00183598,358151,2.38115
17,-31166.6,0.0002952,-0.0103605,310378,2.45923
18,-32641.5,0.0002949,-0.0111002,352244,2.34524
19,-31159.1,0.0002946,-0.00267944,309219,2.18183
20,-29490.7,0.0002943,0.00674615,271938,2.03628
21,-28690.9,0.000294,-0.031777,263243,2.01885
22,-26771.3,0.0002937,0.00311318,222386,1.83349
23,-24433.8,0.0002934,-0.0008041,189563,1.87069
24,-26086.9,0.0002931,0.0135357,237284,1.76356
25,-22902.8,0.0002928,-0.0424541,151222,1.72427
26,-23240.1,0.0002925,-0.0111263,156239,1.61817
27,-21984.8,0.0002922,-0.0142593,112010,1.41757
28,-21503.8,0.0002919,-0.0205284,129193,1.38166
29,-20632.4,0.0002916,0.00641402,115887,1.37224
30,-20751,0.0002913,-0.01404,123303,1.53305
31,-20321,0.000291,-0.0296307,120938,1.29031
32,-18139,0.0002907,-0.033025,87958.3,1.24953
33,-18475.2,0.0002904,-0.00920356,80894.3,1.15768
34,-18671.3,0.0002901,-0.0209433,89532.5,1.00926
35,-18660.8,0.0002898,-0.0348204,81115.8,1.12288
36,-17898.4,0.0002895,-0.0668037,70797.2,1.24442
37,-17341.1,0.0002892,-0.0318043,74436.1,0.788579
