iteration,rewards,learning rate,policy_loss,value_loss,entropy_loss
1,-37595.9,0.0003,0.0315071,570240,2.76851
2,-36789.1,0.000297,0.00707185,455091,2.76989
3,-36809.2,0.000294,-0.0505474,389939,2.75785
4,-37064.7,0.000291,0.00527675,503667,2.71799
5,-35730,0.000288,-0.0125679,408442,2.69759
6,-35795.8,0.000285,-0.0101529,597398,2.69124
7,-34259.8,0.000282,-0.0741971,499333,2.68416
8,-33827.7,0.000279,0.0320487,426126,2.67297
9,-32028,0.000276,-0.063502,381307,2.54883
10,-32339.2,0.000273,-0.0883639,182551,2.58976
11,-31372.7,0.00027,0.0328335,467173,2.49143
12,-28534.1,0.000267,0.012354,43808.7,2.42848
13,-27503.3,0.000264,0.0354965,203761,2.17338
14,-27110.6,0.000261,-0.0261899,267019,1.903
15,-26491.4,0.000258,-0.0231578,225726,2.17465
16,-26330.8,0.000255,-0.0600257,191152,2.01606
17,-26074,0.000252,0.597656,231691,1.93191
18,-23449.6,0.000249,0.0373322,174539,2.09326
19,-23391.4,0.000246,-0.0801594,204121,2.01826
20,-22400.1,0.000243,-0.0209255,170440,1.86105
21,-20921.8,0.00024,0.0280401,133328,1.8693
22,-21064.7,0.000237,0.0360761,157585,1.38717
23,-20859.6,0.000234,0.101627,190032,1.91252
24,-18326.6,0.000231,-0.0471051,87863.4,1.62512
25,-18520.7,0.000228,-0.0553521,100425,1.53677
26,-18772.7,0.000225,-0.0568192,60788.5,1.59711
27,-18081.3,0.000222,-0.0640032,78845.3,1.08482
28,-19076.2,0.000219,0.0516996,143968,1.43406
29,-18330.9,0.000216,-0.0769109,106578,1.09194
30,-19505.1,0.000213,-0.0561612,88677.3,1.5246
31,-17379.1,0.00021,-0.0153722,69763.3,1.48797
32,-18413.5,0.000207,-0.0792997,125659,1.32281
33,-18196.4,0.000204,0.00563954,103122,0.455619
34,-17764.5,0.000201,-0.00537627,111559,1.49207
35,-18356.8,0.000198,-0.0385884,58489,1.37422
36,-18628.3,0.000195,0.118799,103689,1.17364
37,-17636.9,0.000192,-0.0646304,63485.8,0.691127
38,-18204.2,0.000189,0.0251583,83031.5,1.05766
39,-19351,0.000186,-0.114589,87913,0.963298
40,-17469.7,0.000183,0.0239182,132245,0.908647
41,-18374.4,0.00018,0.0617554,121913,1.01425
42,-16865.9,0.000177,-0.0400904,34737.6,1.31178
43,-16390.5,0.000174,-0.05561,75031.8,1.30683
44,-18249.2,0.000171,-0.0418668,45881.4,0.688567
45,-18485.8,0.000168,-0.00953052,116790,1.26726
46,-17379.3,0.000165,-0.0210871,71963.9,1.32752
47,-16514.8,0.000162,-0.0498505,88377.3,1.45803
48,-17131.8,0.000159,-0.0258954,87584.6,1.7237
49,-16897,0.000156,-0.0179089,132230,1.26126
50,-17520.7,0.000153,-0.00490214,87990.5,0.514425
